Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Note
A,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",1090872,NYSE,USD,USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,"5301 STEVENS CREEK BLVD, SANTA CLARA, CA, US",October,44592,35794477000,1787000000,30.26,2.383,17.16,0.792,0.007,3.941,21.29,0.187,0.227,0.0912,0.242,6445000000,3407000000,3.941,0,0.081,173.35,30.26,24.63,5.55,6.95,5.8,21.03,1.052,178.83,116.49,130.79,149.52,300113000,44678,44655,
AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,44651,2.57781E+12,1.28218E+11,26.26,3.031,4.402,0.865,0.0058,6.01,22.84,0.266,0.309,0.199,1.456,3.78323E+11,1.52836E+11,6.01,0.25,0.112,191.7,26.26,26.11,6.81,35.77,6.82,19.99,1.188,182.71,121.73,165.62,159.35,16319400000,44693,44687,
ABG,Common Stock,Asbury Automotive Group Inc,"Asbury Automotive Group, Inc. is an automobile retailer in the United States. The company is headquartered in Duluth, Georgia.",1144980,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO DEALERS & GASOLINE STATIONS,"2905 PREMIERE PARKWAY NW, SUITE 300, DULUTH, GA, US",December,44651,4356173000,833200000,7.09,0.881,110.07,0,0,26.49,494.36,0.0541,0.0804,0.0847,0.352,9837700000,1902200000,26.49,0.402,0.188,243.57,7.09,5.46,0.443,2.014,0.747,8.08,1.395,230.97,146.43,174.71,180.4,23188400,39682,39659,
ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",December,44651,1.98973E+11,12756000000,28.64,6.87,20.3,1.82,0.0166,3.94,24.27,0.164,0.214,0.078,0.205,43074998000,25009000000,3.94,-0.075,0.072,141.77,28.64,23.42,4.619,5.59,4.693,18,0.734,141.53,103.78,119,124.69,1763480000,44697,44664,
ACN,Common Stock,Accenture plc,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",1467373,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE",August,44620,1.93089E+11,9511400000,30.7,2.241,32.46,3.79,0.0129,9.92,89.46,0.113,0.151,0.127,0.324,56694923000,16364128000,9.92,0.139,0.245,380.96,30.7,27.78,3.406,9.25,3.322,17.89,1.235,415.05,273.76,321.48,342.18,633401000,44694,44664,
ADBE,Common Stock,Adobe Inc,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",November,44620,1.92445E+11,6521000000,40.45,1.711,29.18,0,0,10.07,33.93,0.299,0.367,0.145,0.353,16142000000,13920000000,10.07,0.019,0.091,563.7,40.45,28.82,11.92,13.58,11.59,27.79,1.048,699.54,394.04,438.53,562.4,472500000,None,38435,
AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",December,44561,11798663000,1623000000,5.95,2.78,59.02,2.06,0.0162,23.3,75.12,0.312,0.225,0.0175,0.183,6393000000,1689000000,23.3,-0.475,0.04,166.33,5.95,19.08,1.846,2.351,1.864,-,0.934,152.29,98.09,141.8,136.46,85091000,44676,44664,
AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",October,44592,99797131000,8164000000,15.74,1.659,13.46,0.96,0.0089,7.18,26.75,0.271,0.321,0.199,0.561,24171999000,10926000000,7.18,0.639,0.215,164.96,15.74,13.61,4.129,8.2,4.034,12.05,1.403,166.76,107.9,125,137.3,883395000,44728,44706,
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",2488,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US",December,44561,1.39172E+11,4055000000,33.28,1.09,6.21,0,0,2.57,13.55,0.192,0.222,0.213,0.474,16434000000,7929000000,2.57,-0.454,0.488,145.88,33.28,21.1,8.47,18.56,8.29,32.7,1.805,164.46,72.5,106.41,117.76,1627360000,None,34816,
AMP,Common Stock,Ameriprise Financial Inc,"Ameriprise Financial, Inc. is a diversified financial services company and bank holding company incorporated in Delaware and headquartered in Minneapolis, Minnesota. It provides financial planning products and services, including wealth management, asset management, insurance, annuities, and estate planning.",820027,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"1099 AMERIPRISE FINANCIAL CENTER, MINNEAPOLIS, MN, US",December,44651,29230449000,4283000000,11.54,1.26,51.28,4.43,0.0183,23,114.6,0.205,0.311,0.0153,0.478,13443000000,7588000000,23,3.175,0.18,343.3,11.54,10.59,2.174,5.83,1.97,-,1.508,331.19,233.63,290.53,288.41,110100000,44701,44687,
